age,sex,state,value
M_25to34Years,M,Missouri,406863
M_35to44Years,M,Missouri,383011
M_45to54Years,M,Missouri,369588
M_55to64Years,M,Missouri,406898
M_65to74Years,M,Missouri,287399
M_75to84Years,M,Missouri,130452
M_85YearsandOver,M,Missouri,43707
M_Under5Years,M,Montana,31226
M_5to9Years,M,Montana,33436
M_10to14Years,M,Montana,34933
M_15to17Years,M,Montana,20506
M_18to24Years,M,Montana,52356
M_25to34Years,M,Montana,70343
M_35to44Years,M,Montana,68258
M_45to54Years,M,Montana,62006
M_55to64Years,M,Montana,74706
M_65to74Years,M,Montana,62808
M_75to84Years,M,Montana,27422
M_85YearsandOver,M,Montana,7671
M_Under5Years,M,Nebraska,66837
M_5to9Years,M,Nebraska,69746
M_10to14Years,M,Nebraska,71254
M_15to17Years,M,Nebraska,42180
M_18to24Years,M,Nebraska,96823
M_25to34Years,M,Nebraska,130233
M_35to44Years,M,Nebraska,127143
M_45to54Years,M,Nebraska,113342
M_55to64Years,M,Nebraska,122246
M_65to74Years,M,Nebraska,86805
M_75to84Years,M,Nebraska,37956
M_85YearsandOver,M,Nebraska,14298
M_Under5Years,M,Nevada,92638
M_5to9Years,M,Nevada,98171
M_10to14Years,M,Nevada,104066
M_15to17Years,M,Nevada,60095
M_18to24Years,M,Nevada,127781
M_25to34Years,M,Nevada,225322
M_35to44Years,M,Nevada,210823
M_45to54Years,M,Nevada,202732
M_55to64Years,M,Nevada,191222
M_65to74Years,M,Nevada,145580
M_75to84Years,M,Nevada,65338
M_85YearsandOver,M,Nevada,18021
M_Under5Years,M,NewHampshire,32295
M_5to9Years,M,NewHampshire,36298
M_10to14Years,M,NewHampshire,39656
M_15to17Years,M,NewHampshire,25252
M_18to24Years,M,NewHampshire,63936
M_25to34Years,M,NewHampshire,88591
M_35to44Years,M,NewHampshire,81058
M_45to54Years,M,NewHampshire,93522
M_55to64Years,M,NewHampshire,107461
M_65to74Years,M,NewHampshire,75070
M_75to84Years,M,NewHampshire,30331
M_85YearsandOver,M,NewHampshire,10376
M_Under5Years,M,NewJersey,271646
M_5to9Years,M,NewJersey,287097
M_10to14Years,M,NewJersey,299463
M_15to17Years,M,NewJersey,185406
M_18to24Years,M,NewJersey,399356
M_25to34Years,M,NewJersey,597528
M_35to44Years,M,NewJersey,598712
