Statistics,TotalPopulationBySex,MalePop,M_Under5Years,M_5to9Years,M_10to14Years,M_15to17Years,M_18to24Years,M_25to34Years,M_35to44Years,M_45to54Years,M_55to64Years,M_65to74Years,M_75to84Years,M_85YearsandOver,FemalePop,F_Under5Years,F_5to9Years,F_10to14Years,F_15to17Years,F_18to24Years,F_25to34Years,F_35to44Years,F_45to54Years,F_55to64Years,F_65to74Years,F_75to84Years,F_85YearsandOver,TotalEA_Pop25YearsandOver,TotalEA_LessthanHighSchool,TotalEA_HighSchoolGrad ,TotalEA_SomeCollege,TotalEA_BachelorsDegree,TotalEA_MastersDegree,TotalEA_ProfessionalSchoolDegree,TotalEA_DoctorateDegree,MaleEA_Pop25YearsandOver,MaleEA_LessthanHighSchool,MaleEA_HighSchoolGrad,MaleEA_SomeCollege,MaleEA_BachelorsDegree,MaleEA_MastersDegree,MaleEA_ProfessionalSchoolDegree,MaleEA_DoctorateDegree,FemEA_Pop25YearsandOver,FemEA_LessthanHighSchool,FemEA_HighSchoolGrad,FemEA_SomeCollege,FemEA_BachelorsDegree,FemEA_MastersDegree,FemEA_ProfessionalSchoolDegree,FemEA_DoctorateDegree,MaleSDR_CivilianPop16to19Years,MaleSDR_NotHighSchoolGradNotEnrolled,MaleSDR_HighSchoolGradEnrolled ,FemaleSDR_CivilianPop16to19Years,FemSDR_NotHighSchoolGradNotEnrolled,FemSDR_HighSchoolGradEnrolled ,MaleES_Pop16YearsandOver,MaleES_InLaborForce,MaleES_InArmedForces,MaleES_Civilian,MaleES_Employed,MaleES_Unemployed,MaleES_NotinLaborForce,FemES Pop16YearsandOver,FemES_InLaborForce,FemES_InArmedForces,FemES_Civilian,FemES_Employed,FemES_Unemployed,FemES_NotinLaborForce,MaleEmpSec_EmployedCivilianPop16YearsandOver,MaleEmpSec_PrivateSector,MaleEmpSec_PublicSector,MaleEmpSec_SelfEmployed,MaleEmpSec_PrivateNonProfit,MaleEmpSec_UnpaidFamilyWorkers,FemEmpSec_EmployedCivilianPop16YearsandOver,FemEmpSec_PrivateSector,FemEmpSec_PublicSector,FemEmpSec_SelfEmployed,FemEmpSec_PrivateNonProfit,FemEmpSec_UnpaidFamilyWorkers,MaleUR_CivilianMaleinLaborForce16YearsandOver,MaleUR_Employed,MaleUR_Unemployed,FemUR_CivilianFemaleinLaborForce16YearsandOver,FemUR_Employed,FemUR_Unemployed,PS_Total,IncomeinthePast12MonthsBelowPovertyLevel,Male_IncPast12BPL,Female_IncPast12BPL,IncomeinthePast12MonthsAtorAbovePovertyLevel,Male_IncPast12AAPL,Female_IncPast12AAPL,TotalMedianEarnings,TME_LessthanHighSchoolGrad,TME_HighSchoolGrad,TME_SomeCollegeorAssociatesDegree,TME_BachelorsDegree,TME_GraduateorProfessionalDegree,MaleMedianEarnings,MaleME_LessthanHighSchoolGrad,MaleME_HighSchoolGrad,MaleME_SomeCollegeorAssociatesDegree,MaleME_BachelorsDegree,MaleME_GraduateorProfessionalDegree,FemaleMedianEarnings,FemME_LessthanHighSchoolGrad,FemME_HighSchoolGrad,FemME_SomeCollegeorAssociatesDegree,FemME_BachelorsDegree,FemME_GraduateorProfessionalDegree
PA_pct,,49.3%,2.8%,2.9%,3.1%,1.9%,4.5%,6.7%,6.1%,6.4%,7.0%,5.0%,2.2%,0.9%,50.7%,2.6%,2.8%,2.9%,1.8%,4.4%,6.5%,6.0%,6.4%,7.2%,5.6%,2.9%,1.6%,,8.6%,33.8%,24.5%,19.9%,9.4%,2.2%,1.6%,,9.2%,34.8%,23.6%,19.9%,8.1%,2.5%,1.9%,,8.1%,32.9%,25.2%,19.9%,10.7%,1.8%,1.4%,,5.0%,95.0%,,3.8%,96.2%,,67.4%,0.1%,67.2%,63.4%,3.9%,32.6%,,58.9%,0.0%,58.8%,55.7%,3.1%,41.2%,,71.9%,9.9%,10.3%,7.8%,0.2%,,65.0%,12.1%,5.6%,17.1%,0.2%,,94.3%,5.7%,,94.7%,5.3%,,11.8%,5.2%,6.6%,88.2%,43.9%,44.3%,,,,,,,,,,,,,,,,,,
Rhode Island,1091949,534283,28236,28728,32137,19833,55615,77010,65678,69183,74894,52110,22662,8197,557666,27134,28605,29268,18722,57056,74208,65182,71828,80046,58004,31057,16556,766615,83508,213716,198622,160523,77992,18212,14042,369734,41991,108907,91066,76428,33388,10442,7512,396881,41517,104809,107556,84095,44604,7770,6530,30969,740,30229,32293,599,31694,439141,305653,3551,302102,282813,19289,133488,467163,286813,780,286033,269894,16139,180350,282813,196317,34195,29236,22542,523,269894,172416,38091,16110,42857,420,302102,282813,19289,286033,269894,16139,1050314,118257,51888,66369,932057,463026,469031,"$48,361","$30,340","$38,638","$43,257","$60,216","$80,502","$55,456","$35,267","$44,775","$53,345","$70,236","$91,136","$41,715","$25,620","$31,506","$37,979","$52,337","$73,679"
RI_pct,,48.9%,2.6%,2.6%,2.9%,1.8%,5.1%,7.1%,6.0%,6.3%,6.9%,4.8%,2.1%,0.8%,51.1%,2.5%,2.6%,2.7%,1.7%,5.2%,6.8%,6.0%,6.6%,7.3%,5.3%,2.8%,1.5%,,10.9%,27.9%,25.9%,20.9%,10.2%,2.4%,1.8%,,11.4%,29.5%,24.6%,20.7%,9.0%,2.8%,2.0%,,10.5%,26.4%,27.1%,21.2%,11.2%,2.0%,1.7%,,2.4%,97.6%,,1.9%,98.2%,,69.6%,0.8%,68.8%,64.4%,4.4%,30.4%,,61.4%,0.2%,61.2%,57.8%,3.5%,38.6%,,69.4%,12.1%,10.3%,8.0%,0.2%,,63.9%,14.1%,6.0%,15.9%,0.2%,,93.6%,6.4%,,94.4%,5.6%,,11.3%,4.9%,6.3%,88.7%,44.1%,44.7%,,,,,,,,,,,,,,,,,,
South Carolina,5078903,2474059,146308,155195,167163,97971,238194,324208,305203,310404,324491,260748,113123,31051,2604844,139164,151791,158207,94004,223735,336392,318240,327681,359055,300550,141027,54998,3507171,393448,1008011,1059288,653988,288540,60868,43028,1669228,209489,502804,473326,311093,113004,34729,24783,1837943,183959,505207,585962,342895,175536,26139,18245,138571,7028,131543,128634,4096,124538,1973016,1286784,28863,1257921,1191762,66159,686232,2124349,1192906,6825,1186081,1121616,64465,931443,1191762,861648,137792,137689,51634,2999,1121616,733248,208691,79367,98180,2130,1257921,1191762,66159,1186081,1121616,64465,4946116,718345,314382,403963,4227771,2078344,2149427,"$39,788","$24,433","$31,528","$37,091","$53,106","$64,361","$46,646","$28,219","$37,342","$45,877","$65,842","$83,882","$33,399","$18,675","$25,509","$30,714","$42,843","$55,881"
SC_pct,,48.7%,2.9%,3.1%,3.3%,1.9%,4.7%,6.4%,6.0%,6.1%,6.4%,5.1%,2.2%,0.6%,51.3%,2.7%,3.0%,3.1%,1.9%,4.4%,6.6%,6.3%,6.5%,7.1%,5.9%,2.8%,1.1%,,11.2%,28.7%,30.2%,18.7%,8.2%,1.7%,1.2%,,12.6%,30.1%,28.4%,18.6%,6.8%,2.1%,1.5%,,10.0%,27.5%,31.9%,18.7%,9.6%,1.4%,1.0%,,5.1%,94.9%,,3.2%,96.8%,,65.2%,1.5%,63.8%,60.4%,3.4%,34.8%,,56.2%,0.3%,55.8%,52.8%,3.0%,43.9%,,72.3%,11.6%,11.6%,4.3%,0.3%,,65.4%,18.6%,7.1%,8.8%,0.2%,,94.7%,5.3%,,94.6%,5.4%,,14.5%,6.4%,8.2%,85.5%,42.0%,43.5%,,,,,,,,,,,,,,,,,,
South Dakota,881785,446461,30241,31312,31887,18202,42713,59518,55526,49291,58835,44416,18047,6473,435324,29297,30911,29840,17008,40139,53958,51507,46771,58045,44040,21582,12226,580235,43328,174791,188079,119331,38009,10182,6515,292106,23894,94934,90521,56393,16355,6302,3707,288129,19434,79857,97558,62938,21654,3880,2808,24823,1301,23522,23448,1041,22407,346661,248757,2696,246061,236986,9075,97904,339964,217423,286,217137,211371,5766,122541,236986,152341,31039,37500,15405,701,211371,122352,37260,16962,34151,646,246061,236986,9075,217137,211371,5766,853175,106291,48591,57700,746884,382228,364656,"$41,077","$28,912","$33,846","$38,812","$50,578","$62,807","$47,561","$33,269","$40,532","$47,410","$59,437","$73,077","$34,242","$21,100","$26,360","$32,087","$44,056","$56,027"
SD_pct,,50.6%,3.4%,3.6%,3.6%,2.1%,4.8%,6.8%,6.3%,5.6%,6.7%,5.0%,2.1%,0.7%,49.4%,3.3%,3.5%,3.4%,1.9%,4.6%,6.1%,5.8%,5.3%,6.6%,5.0%,2.5%,1.4%,,7.5%,30.1%,32.4%,20.6%,6.6%,1.8%,1.1%,,8.2%,32.5%,31.0%,19.3%,5.6%,2.2%,1.3%,,6.7%,27.7%,33.9%,21.8%,7.5%,1.4%,1.0%,,5.2%,94.8%,,4.4%,95.6%,,71.8%,0.8%,71.0%,68.4%,2.6%,28.2%,,64.0%,0.1%,63.9%,62.2%,1.7%,36.1%,,64.3%,13.1%,15.8%,6.5%,0.3%,,57.9%,17.6%,8.0%,16.2%,0.3%,,96.3%,3.7%,,97.3%,2.7%,,12.5%,5.7%,6.8%,87.5%,44.8%,42.7%,,,,,,,,,,,,,,,,,,
Tennessee,6859497,3362099,207621,213730,227633,135614,311993,464442,427727,438241,435497,320313,141284,38004,3497398,198246,201896,219898,129605,304781,472712,435260,447380,469031,362893,183042,72654,4708480,529162,1485813,1326294,859255,356100,87302,64554,2265508,279731,749397,601793,405266,145270,48189,35862,2442972,249431,736416,724501,453989,210830,39113,28692,181605,7043,174562,170995,5114,165881,2670093,1778447,15829,1762618,1671825,90793,891646,2834690,1620834,2744,1618090,1529315,88775,1213856,1671825,1199883,183992,195635,88888,3427,1529315,1022399,243503,106074,154421,2918,1762618,1671825,90793,1618090,1529315,88775,6692912,955929,420717,535212,5736983,2845607,2891376,"$40,083","$26,007","$31,891","$37,447","$52,564","$66,640","$46,138","$30,109","$37,317","$45,801","$64,866","$85,882","$34,163","$19,870","$26,144","$31,502","$44,068","$57,306"
TN_pct,,49.0%,3.0%,3.1%,3.3%,2.0%,4.6%,6.8%,6.2%,6.4%,6.4%,4.7%,2.1%,0.6%,51.0%,2.9%,2.9%,3.2%,1.9%,4.4%,6.9%,6.4%,6.5%,6.8%,5.3%,2.7%,1.1%,,11.2%,31.6%,28.2%,18.3%,7.6%,1.9%,1.4%,,12.4%,33.1%,26.6%,17.9%,6.4%,2.1%,1.6%,,10.2%,30.1%,29.7%,18.6%,8.6%,1.6%,1.2%,,3.9%,96.1%,,3.0%,97.0%,,66.6%,0.6%,66.0%,62.6%,3.4%,33.4%,,57.2%,0.1%,57.1%,54.0%,3.1%,42.8%,,71.8%,11.0%,11.7%,5.3%,0.2%,,66.9%,15.9%,6.9%,10.1%,0.2%,,94.9%,5.2%,,94.5%,5.5%,,14.3%,6.3%,8.0%,85.7%,42.5%,43.2%,,,,,,,,,,,,,,,,,,
Texas,28862581,14398171,1000733,1043347,1111175,647804,1436876,2120302,2011317,1790202,1603097,1051370,441658,140290,14464410,958490,998344,1065663,620620,1360060,2059727,1967990,1785594,1660442,1181847,561956,243677,18619469,2826181,4563619,5358474,3791665,1522588,327556,229386,9158236,1457318,2316330,2561921,1803421,698444,187395,133407,9461233,1368863,2247289,2796553,1988244,824144,140161,95979,852664,42688,809976,807168,29468,777700,11027126,7910479,85373,7825106,7414563,410543,3116647,11234055,6582337,17227,6565110,6204067,361043,4651718,7414563,5460702,781672,878880,279263,14046,6204067,4118341,1068937,503079,499320,14390,7825106,7414563,410543,6565110,6204067,361043,28260264,3965117,1774327,2190790,24295147,12224768,12070379,"$43,328","$26,451","$32,983","$40,650","$60,543","$76,818","$51,245","$31,815","$39,794","$50,290","$74,471","$98,343","$35,845","$18,281","$25,987","$33,498","$52,865","$64,383"
TX_pct,,49.9%,3.5%,3.6%,3.9%,2.2%,5.0%,7.4%,7.0%,6.2%,5.6%,3.6%,1.5%,0.5%,50.1%,3.3%,3.5%,3.7%,2.2%,4.7%,7.1%,6.8%,6.2%,5.8%,4.1%,2.0%,0.8%,,15.2%,24.5%,28.8%,20.4%,8.2%,1.8%,1.2%,,15.9%,25.3%,28.0%,19.7%,7.6%,2.1%,1.5%,,14.5%,23.8%,29.6%,21.0%,8.7%,1.5%,1.0%,,5.0%,95.0%,,3.7%,96.4%,,71.7%,0.8%,71.0%,67.2%,3.7%,28.3%,,58.6%,0.2%,58.4%,55.2%,3.2%,41.4%,,73.7%,10.5%,11.9%,3.8%,0.2%,,66.4%,17.2%,8.1%,8.1%,0.2%,,94.8%,5.3%,,94.5%,5.5%,,14.0%,6.3%,7.8%,86.0%,43.3%,42.7%,,,,,,,,,,,,,,,,,,
Utah,3231370,1633843,125819,136703,140717,82895,185192,239874,229722,172254,152357,106686,46514,15110,1597527,119820,129864,131992,78253,178255,230615,219284,164933,154653,113878,54996,20984,1921860,132503,435611,672887,450953,166433,35638,27835,962517,70839,213082,318531,223245,93248,24164,19408,959343,61664,222529,354356,227708,73185,11474,8427,103789,5083,98706,101304,2992,98312,1201946,919070,4616,914454,882848,31606,282876,1189781,734748,889,733859,707295,26564,455033,882848,635764,108476,91679,45749,1180,707295,457682,125695,57311,64862,1745,914454,882848,31606,733859,707295,26564,3182692,278486,127928,150558,2904206,1477272,1426934,"$44,483","$31,162","$36,022","$40,492","$54,508","$80,447","$56,560","$36,935","$44,446","$52,146","$72,121","$97,181","$32,981","$22,044","$27,749","$30,240","$39,722","$60,900"
UT_pct,,50.6%,3.9%,4.2%,4.4%,2.6%,5.7%,7.4%,7.1%,5.3%,4.7%,3.3%,1.4%,0.5%,49.4%,3.7%,4.0%,4.1%,2.4%,5.5%,7.1%,6.8%,5.1%,4.8%,3.5%,1.7%,0.7%,,6.9%,22.7%,35.0%,23.5%,8.7%,1.9%,1.5%,,7.4%,22.1%,33.1%,23.2%,9.7%,2.5%,2.0%,,6.4%,23.2%,36.9%,23.7%,7.6%,1.2%,0.9%,,4.9%,95.1%,,3.0%,97.1%,,76.5%,0.4%,76.1%,73.5%,2.6%,23.5%,,61.8%,0.1%,61.7%,59.5%,2.2%,38.3%,,72.0%,12.3%,10.4%,5.2%,0.1%,,64.7%,17.8%,8.1%,9.2%,0.3%,,96.5%,3.5%,,96.4%,3.6%,,8.8%,4.0%,4.7%,91.3%,46.4%,44.8%,,,,,,,,,,,,,,,,,,
Vermont,641637,318533,15119,17222,18161,11305,35186,38087,36770,40240,48289,37692,15604,4858,323104,14049,15342,16997,10694,33099,37288,37734,40981,49943,39667,18545,8765,454463,27915,127128,113730,110000,54302,11805,9583,221540,17049,69255,52929,50591,20255,6286,5175,232923,10866,57873,60801,59409,34047,5519,4408,18586,692,17894,17728,597,17131,264125,178122,826,177296,169085,8211,86003,273350,171697,86,171611,166154,5457,101653,169085,104762,19422,26627,17937,337,166154,82581,30050,17205,35977,341,177296,169085,8211,171611,166154,5457,617101,64962,29099,35863,552139,277000,275139,"$43,613","$29,797","$35,808","$39,716","$48,739","$66,016","$48,087","$32,780","$40,102","$46,772","$56,504","$78,916","$39,770","$19,193","$29,470","$34,151","$43,113","$61,443"
VT_pct,,49.6%,2.4%,2.7%,2.8%,1.8%,5.5%,5.9%,5.7%,6.3%,7.5%,5.9%,2.4%,0.8%,50.4%,2.2%,2.4%,2.7%,1.7%,5.2%,5.8%,5.9%,6.4%,7.8%,6.2%,2.9%,1.4%,,6.1%,28.0%,25.0%,24.2%,12.0%,2.6%,2.1%,,7.7%,31.3%,23.9%,22.8%,9.1%,2.8%,2.3%,,4.7%,24.9%,26.1%,25.5%,14.6%,2.4%,1.9%,,3.7%,96.3%,,3.4%,96.6%,,67.4%,0.3%,67.1%,64.0%,3.1%,32.6%,,62.8%,0.0%,62.8%,60.8%,2.0%,37.2%,,62.0%,11.5%,15.8%,10.6%,0.2%,,49.7%,18.1%,10.4%,21.7%,0.2%,,95.4%,4.6%,,96.8%,3.2%,,10.5%,4.7%,5.8%,89.5%,44.9%,44.6%,,,,,,,,,,,,,,,,,,
Virginia,8582479,4245281,256734,266854,280270,166637,415948,593484,568853,555240,546869,376160,165350,52882,4337198,244760,252006,266690,158801,391258,581961,567392,564357,575765,427110,215887,91211,5882521,539599,1402487,1568038,1338831,762490,155464,115612,2858838,281962,719050,720827,627514,356300,87219,65966,3023683,257637,683437,847211,711317,406190,68245,49646,231600,6300,225300,218806,4592,214214,3385811,2400124,106500,2293624,2188229,105395,985687,3517796,2152511,23547,2128964,2031552,97412,1365285,2188229,1445597,402815,210393,125678,3746,2031552,1207776,449779,143219,227034,3744,2293624,2188229,105395,2128964,2031552,97412,8337068,828664,363107,465557,7508404,3728520,3779884,"$50,583","$27,282","$34,663","$42,270","$64,851","$90,644","$58,818","$32,853","$41,415","$51,999","$80,664","$113,111","$41,941","$20,382","$27,076","$34,704","$53,145","$72,250"
VA_pct,,49.5%,3.0%,3.1%,3.3%,1.9%,4.9%,6.9%,6.6%,6.5%,6.4%,4.4%,1.9%,0.6%,50.5%,2.9%,2.9%,3.1%,1.9%,4.6%,6.8%,6.6%,6.6%,6.7%,5.0%,2.5%,1.1%,,9.2%,23.8%,26.7%,22.8%,13.0%,2.6%,2.0%,,9.9%,25.2%,25.2%,22.0%,12.5%,3.1%,2.3%,,8.5%,22.6%,28.0%,23.5%,13.4%,2.3%,1.6%,,2.7%,97.3%,,2.1%,97.9%,,70.9%,3.2%,67.7%,64.6%,3.1%,29.1%,,61.2%,0.7%,60.5%,57.8%,2.8%,38.8%,,66.1%,18.4%,9.6%,5.7%,0.2%,,59.5%,22.1%,7.1%,11.2%,0.2%,,95.4%,4.6%,,95.4%,4.6%,,9.9%,4.4%,5.6%,90.1%,44.7%,45.3%,,,,,,,,,,,,,,,,,,
Washington,7617364,3831964,230732,242605,245314,142233,341829,596836,534910,476959,478018,350206,143665,48657,3785400,218811,230501,233793,136471,316423,555320,509190,462317,487330,382040,171014,82190,5278652,426501,1150293,1733850,1217575,544325,120128,85980,2629251,227216,601758,832267,598429,254000,65702,49879,2649401,199285,548535,901583,619146,290325,54426,36101,186156,8968,177188,177995,6036,171959,3065084,2148794,50225,2098569,1990888,107681,916290,3055831,1809778,8432,1801346,1710768,90578,1246053,1990888,1412809,261734,207870,104985,3490,1710768,1032349,316379,152559,206174,3307,2098569,1990888,107681,1801346,1710768,90578,7478757,746904,339334,407570,6731853,3409237,3322616,"$51,626","$31,023","$39,206","$44,400","$67,444","$89,702","$61,100","$36,040","$46,108","$54,447","$84,214","$109,852","$41,783","$22,611","$31,006","$36,561","$53,937","$75,183"
WA_pct,,50.3%,3.0%,3.2%,3.2%,1.9%,4.5%,7.8%,7.0%,6.3%,6.3%,4.6%,1.9%,0.6%,49.7%,2.9%,3.0%,3.1%,1.8%,4.2%,7.3%,6.7%,6.1%,6.4%,5.0%,2.3%,1.1%,,8.1%,21.8%,32.9%,23.1%,10.3%,2.3%,1.6%,,8.6%,22.9%,31.7%,22.8%,9.7%,2.5%,1.9%,,7.5%,20.7%,34.0%,23.4%,11.0%,2.1%,1.4%,,4.8%,95.2%,,3.4%,96.6%,,70.1%,1.6%,68.5%,65.0%,3.5%,29.9%,,59.2%,0.3%,59.0%,56.0%,3.0%,40.8%,,71.0%,13.2%,10.4%,5.3%,0.2%,,60.3%,18.5%,8.9%,12.1%,0.2%,,94.9%,5.1%,,95.0%,5.0%,,10.0%,4.5%,5.5%,90.0%,45.6%,44.4%,,,,,,,,,,,,,,,,,,
West Virginia,1801049,896723,48062,51311,56100,33282,81598,107520,110481,117303,126256,104964,46984,12862,904326,45161,49064,51980,31535,75042,103404,107524,115369,131182,112762,55554,25749,1277914,152581,512232,334820,165975,81546,17591,13169,626370,81785,266651,151202,77665,30887,10461,7719,651544,70796,245581,183618,88310,50659,7130,5450,46803,1719,45084,43063,1468,41595,730546,419244,1808,417436,388291,29145,311302,748168,369189,260,368929,347797,21132,378979,388291,274416,63395,29022,20992,466,347797,211094,78365,19490,38268,580,417436,388291,29145,368929,347797,21132,1751049,295632,131550,164082,1455417,736004,719413,"$37,723","$23,107","$32,188","$34,506","$48,052","$61,846","$44,741","$27,540","$41,180","$44,402","$57,008","$73,790","$30,594","$16,615","$23,896","$28,199","$41,795","$56,236"
WV_pct,,49.8%,2.7%,2.9%,3.1%,1.9%,4.5%,6.0%,6.1%,6.5%,7.0%,5.8%,2.6%,0.7%,50.2%,2.5%,2.7%,2.9%,1.8%,4.2%,5.7%,6.0%,6.4%,7.3%,6.3%,3.1%,1.4%,,11.9%,40.1%,26.2%,13.0%,6.4%,1.4%,1.0%,,13.1%,42.6%,24.1%,12.4%,4.9%,1.7%,1.2%,,10.9%,37.7%,28.2%,13.6%,7.8%,1.1%,0.8%,,3.7%,96.3%,,3.4%,96.6%,,57.4%,0.3%,57.1%,53.2%,4.0%,42.6%,,49.4%,0.0%,49.3%,46.5%,2.8%,50.7%,,70.7%,16.3%,7.5%,5.4%,0.1%,,60.7%,22.5%,5.6%,11.0%,0.2%,,93.0%,7.0%,,94.3%,5.7%,,16.9%,7.5%,9.4%,83.1%,42.0%,41.1%,,,,,,,,,,,,,,,,,,
Wisconsin,5871661,2937621,168590,180072,195924,117764,280384,375284,370951,371519,416624,292854,124187,43468,2934040,160734,173541,183963,112356,270648,359871,357763,361060,417535,306333,149977,80259,4027685,285275,1209751,1264360,833670,312037,70286,52306,1994887,158896,633598,612410,388282,130406,41644,29651,2032798,126379,576153,651950,445388,181631,28642,22655,159063,6117,152946,151764,4102,147662,2354124,1637876,3033,1634843,1572544,62299,716248,2377712,1489486,700,1488786,1442068,46718,888226,1572544,1171088,156246,161055,81130,3025,1442068,933059,216077,90569,199324,3039,1634843,1572544,62299,1488786,1442068,46718,5726939,610632,273748,336884,5116307,2581679,2534628,"$44,812","$30,428","$35,744","$42,060","$56,866","$70,620","$52,699","$35,482","$42,796","$51,827","$68,754","$84,304","$37,858","$22,210","$27,960","$34,297","$48,887","$63,441"
WI_pct,,50.0%,2.9%,3.1%,3.3%,2.0%,4.8%,6.4%,6.3%,6.3%,7.1%,5.0%,2.1%,0.7%,50.0%,2.7%,3.0%,3.1%,1.9%,4.6%,6.1%,6.1%,6.2%,7.1%,5.2%,2.6%,1.4%,,7.1%,30.0%,31.4%,20.7%,7.8%,1.8%,1.3%,,8.0%,31.8%,30.7%,19.5%,6.5%,2.1%,1.5%,,6.2%,28.3%,32.1%,21.9%,8.9%,1.4%,1.1%,,3.9%,96.2%,,2.7%,97.3%,,69.6%,0.1%,69.5%,66.8%,2.7%,30.4%,,62.6%,0.0%,62.6%,60.7%,2.0%,37.4%,,74.5%,9.9%,10.2%,5.2%,0.2%,,64.7%,15.0%,6.3%,13.8%,0.2%,,96.2%,3.8%,,96.9%,3.1%,,10.7%,4.8%,5.9%,89.3%,45.1%,44.3%,,,,,,,,,,,,,,,,,,
Wyoming,576641,295204,17712,19577,20150,11865,27621,39712,38660,33686,39252,30787,12406,3776,281437,16550,18237,19632,10744,24391,36024,36189,31532,38567,29710,13834,6027,390162,24433,110950,143496,69809,30947,5993,4534,198279,13303,62273,68970,32765,14351,3753,2864,191883,11130,48677,74526,37044,16596,2240,1670,16411,716,15695,13583,424,13159,234244,166274,2874,163400,155502,7898,67970,222884,134559,561,133998,129432,4566,88325,155502,102302,27125,19014,6551,510,129432,68730,32870,13435,13850,547,163400,155502,7898,133998,129432,4566,563382,60482,27427,33055,502900,259944,242956,"$43,320","$30,953","$37,233","$39,491","$52,250","$66,039","$54,535","$41,246","$49,048","$54,098","$62,332","$73,007","$32,998","$17,966","$25,741","$30,991","$44,059","$61,569"
WY_pct,,51.2%,3.1%,3.4%,3.5%,2.1%,4.8%,6.9%,6.7%,5.8%,6.8%,5.3%,2.2%,0.7%,48.8%,2.9%,3.2%,3.4%,1.9%,4.2%,6.3%,6.3%,5.5%,6.7%,5.2%,2.4%,1.1%,,6.3%,28.4%,36.8%,17.9%,7.9%,1.5%,1.2%,,6.7%,31.4%,34.8%,16.5%,7.2%,1.9%,1.4%,,5.8%,25.4%,38.8%,19.3%,8.7%,1.2%,0.9%,,4.4%,95.6%,,3.1%,96.9%,,71.0%,1.2%,69.8%,66.4%,3.4%,29.0%,,60.4%,0.3%,60.1%,58.1%,2.1%,39.6%,,65.8%,17.4%,12.2%,4.2%,0.3%,,53.1%,25.4%,10.4%,10.7%,0.4%,,95.2%,4.8%,,96.6%,3.4%,,10.7%,4.9%,5.9%,89.3%,46.1%,43.1%,,,,,,,,,,,,,,,,,,
