Statistics,TotalPopulationBySex,MalePop,M_Under5Years,M_5to9Years,M_10to14Years,M_15to17Years,M_18to24Years,M_25to34Years,M_35to44Years,M_45to54Years,M_55to64Years,M_65to74Years,M_75to84Years,M_85YearsandOver,FemalePop,F_Under5Years,F_5to9Years,F_10to14Years,F_15to17Years,F_18to24Years,F_25to34Years,F_35to44Years,F_45to54Years,F_55to64Years,F_65to74Years,F_75to84Years,F_85YearsandOver,TotalEA_Pop25YearsandOver,TotalEA_LessthanHighSchool,TotalEA_HighSchoolGrad ,TotalEA_SomeCollege,TotalEA_BachelorsDegree,TotalEA_MastersDegree,TotalEA_ProfessionalSchoolDegree,TotalEA_DoctorateDegree,MaleEA_Pop25YearsandOver,MaleEA_LessthanHighSchool,MaleEA_HighSchoolGrad,MaleEA_SomeCollege,MaleEA_BachelorsDegree,MaleEA_MastersDegree,MaleEA_ProfessionalSchoolDegree,MaleEA_DoctorateDegree,FemEA_Pop25YearsandOver,FemEA_LessthanHighSchool,FemEA_HighSchoolGrad,FemEA_SomeCollege,FemEA_BachelorsDegree,FemEA_MastersDegree,FemEA_ProfessionalSchoolDegree,FemEA_DoctorateDegree,MaleSDR_CivilianPop16to19Years,MaleSDR_NotHighSchoolGradNotEnrolled,MaleSDR_HighSchoolGradEnrolled ,FemaleSDR_CivilianPop16to19Years,FemSDR_NotHighSchoolGradNotEnrolled,FemSDR_HighSchoolGradEnrolled ,MaleES_Pop16YearsandOver,MaleES_InLaborForce,MaleES_InArmedForces,MaleES_Civilian,MaleES_Employed,MaleES_Unemployed,MaleES_NotinLaborForce,FemES Pop16YearsandOver,FemES_InLaborForce,FemES_InArmedForces,FemES_Civilian,FemES_Employed,FemES_Unemployed,FemES_NotinLaborForce,MaleEmpSec_EmployedCivilianPop16YearsandOver,MaleEmpSec_PrivateSector,MaleEmpSec_PublicSector,MaleEmpSec_SelfEmployed,MaleEmpSec_PrivateNonProfit,MaleEmpSec_UnpaidFamilyWorkers,FemEmpSec_EmployedCivilianPop16YearsandOver,FemEmpSec_PrivateSector,FemEmpSec_PublicSector,FemEmpSec_SelfEmployed,FemEmpSec_PrivateNonProfit,FemEmpSec_UnpaidFamilyWorkers,MaleUR_CivilianMaleinLaborForce16YearsandOver,MaleUR_Employed,MaleUR_Unemployed,FemUR_CivilianFemaleinLaborForce16YearsandOver,FemUR_Employed,FemUR_Unemployed,PS_Total,IncomeinthePast12MonthsBelowPovertyLevel,Male_IncPast12BPL,Female_IncPast12BPL,IncomeinthePast12MonthsAtorAbovePovertyLevel,Male_IncPast12AAPL,Female_IncPast12AAPL,TotalMedianEarnings,TME_LessthanHighSchoolGrad,TME_HighSchoolGrad,TME_SomeCollegeorAssociatesDegree,TME_BachelorsDegree,TME_GraduateorProfessionalDegree,MaleMedianEarnings,MaleME_LessthanHighSchoolGrad,MaleME_HighSchoolGrad,MaleME_SomeCollegeorAssociatesDegree,MaleME_BachelorsDegree,MaleME_GraduateorProfessionalDegree,FemaleMedianEarnings,FemME_LessthanHighSchoolGrad,FemME_HighSchoolGrad,FemME_SomeCollegeorAssociatesDegree,FemME_BachelorsDegree,FemME_GraduateorProfessionalDegree
Colorado,5723176,2895936,165967,176827,191554,112904,273168,464018,417273,364491,350470,249580,95642,34042,2827240,158279,170826,178712,107666,250233,425915,387976,347705,359938,268788,116980,54222,3937040,300620,810976,1139275,1051023,465071,97490,72585,1975516,160291,430183,559043,515459,214957,54446,41137,1961524,140329,380793,580232,535564,250114,43044,31448,152953,6816,146137,142419,4437,137982,2323120,1711376,31761,1679615,1600877,78738,611744,2283279,1446284,5031,1441253,1374953,66300,836995,1600877,1122797,187326,206392,80742,3620,1374953,856447,223551,136075,155290,3590,1679615,1600877,78738,1441253,1374953,66300,5605422,535976,246395,289581,5069446,2573238,2496208,"$49,696","$31,706","$37,928","$42,408","$60,941","$76,458","$56,981","$37,762","$43,053","$51,214","$74,310","$96,383","$41,506","$22,328","$30,896","$35,238","$50,210","$63,783"
CO_pct,,50.6%,2.9%,3.1%,3.4%,2.0%,4.8%,8.1%,7.3%,6.4%,6.1%,4.4%,1.7%,0.6%,49.4%,2.8%,3.0%,3.1%,1.9%,4.4%,7.4%,6.8%,6.1%,6.3%,4.7%,2.0%,1.0%,,7.6%,20.6%,28.9%,26.7%,11.8%,2.5%,1.8%,,8.1%,21.8%,28.3%,26.1%,10.9%,2.8%,2.1%,,7.2%,19.4%,29.6%,27.3%,12.8%,2.2%,1.6%,,4.5%,95.5%,,3.1%,96.9%,,73.7%,1.4%,72.3%,68.9%,3.4%,26.3%,,63.3%,0.2%,63.1%,60.2%,2.9%,36.7%,,70.1%,11.7%,12.9%,5.0%,0.2%,,62.3%,16.3%,9.9%,11.3%,0.3%,,95.3%,4.7%,,95.4%,4.6%,,9.6%,4.4%,5.2%,90.4%,45.9%,44.5%,,,,,,,,,,,,,,,,,,
Connecticut,3605330,1768860,93734,99242,115470,72468,176763,226394,217332,238821,254733,167862,75126,30915,1836470,88388,97298,108901,68990,168939,219467,221766,249462,266983,189547,98023,58706,2515137,225021,656949,613201,561567,334219,79160,45020,1211183,118042,333289,281631,267899,142283,42636,25403,1303954,106979,323660,331570,293668,191936,36524,19617,101526,2517,99009,96628,1688,94940,1436602,1013456,8719,1004737,939729,65008,423146,1518059,936551,662,935889,883266,52623,581508,939729,661605,100876,114339,61333,1576,883266,561368,134290,64425,121607,1576,1004737,939729,65008,935889,883266,52623,3503694,351476,153937,197539,3152218,1561926,1590292,"$53,504","$27,474","$38,906","$44,872","$68,811","$89,355","$62,488","$31,577","$46,001","$54,365","$83,615","$108,585","$44,537","$22,074","$30,663","$38,362","$56,447","$76,290"
CT_pct,,49.1%,2.6%,2.8%,3.2%,2.0%,4.9%,6.3%,6.0%,6.6%,7.1%,4.7%,2.1%,0.9%,50.9%,2.5%,2.7%,3.0%,1.9%,4.7%,6.1%,6.2%,6.9%,7.4%,5.3%,2.7%,1.6%,,9.0%,26.1%,24.4%,22.3%,13.3%,3.2%,1.8%,,9.8%,27.5%,23.3%,22.1%,11.8%,3.5%,2.1%,,8.2%,24.8%,25.4%,22.5%,14.7%,2.8%,1.5%,,2.5%,97.5%,,1.8%,98.3%,,70.6%,0.6%,69.9%,65.4%,4.5%,29.5%,,61.7%,0.0%,61.7%,58.2%,3.5%,38.3%,,70.4%,10.7%,12.2%,6.5%,0.2%,,63.6%,15.2%,7.3%,13.8%,0.2%,,93.5%,6.5%,,94.4%,5.6%,,10.0%,4.4%,5.6%,90.0%,44.6%,45.4%,,,,,,,,,,,,,,,,,,
Delaware,981892,477219,27567,28646,30950,18348,42180,63809,57016,58629,66068,52912,23913,7181,504673,26667,27835,29842,17790,41449,64069,58757,62606,73289,61044,29795,11530,690618,61788,209928,186528,134252,71962,12917,13243,329528,34241,105652,83640,62036,29305,6808,7846,361090,27547,104276,102888,72216,42657,6109,5397,25106,1196,23910,25191,987,24204,384134,254386,3682,250704,236135,14569,129748,414664,242418,672,241746,228322,13424,172246,236135,164106,32315,25634,13543,537,228322,145307,39598,14538,28344,535,250704,236135,14569,241746,228322,13424,955602,109274,47311,61963,846328,415720,430608,"$45,782","$30,017","$35,625","$40,721","$61,034","$77,933","$52,057","$34,700","$42,278","$48,891","$70,888","$94,711","$40,764","$21,612","$29,978","$34,647","$53,577","$70,367"
DE_pct,,48.6%,2.8%,2.9%,3.2%,1.9%,4.3%,6.5%,5.8%,6.0%,6.7%,5.4%,2.4%,0.7%,51.4%,2.7%,2.8%,3.0%,1.8%,4.2%,6.5%,6.0%,6.4%,7.5%,6.2%,3.0%,1.2%,,9.0%,30.4%,27.0%,19.4%,10.4%,1.9%,1.9%,,10.4%,32.1%,25.4%,18.8%,8.9%,2.1%,2.4%,,7.6%,28.9%,28.5%,20.0%,11.8%,1.7%,1.5%,,4.8%,95.2%,,3.9%,96.1%,,66.2%,1.0%,65.3%,61.5%,3.8%,33.8%,,58.5%,0.2%,58.3%,55.1%,3.2%,41.5%,,69.5%,13.7%,10.9%,5.7%,0.2%,,63.6%,17.3%,6.4%,12.4%,0.2%,,94.2%,5.8%,,94.5%,5.6%,,11.4%,5.0%,6.5%,88.6%,43.5%,45.1%,,,,,,,,,,,,,,,,,,
District of Columbia,683154,325490,21890,17335,16300,7748,31755,72944,52731,37237,33032,21419,9351,3748,357664,21068,17734,15149,7798,38651,82770,54067,36364,35382,27553,14617,6511,487726,37934,75562,74761,124285,106838,47536,20810,230462,18537,35786,33272,59978,47766,24254,10869,257264,19397,39776,41489,64307,59072,23282,9941,14220,554,13666,17148,286,16862,267002,196377,2704,193673,179949,13724,70625,301403,209274,487,208787,194018,14769,92129,179949,92742,42957,16594,27457,199,194018,83823,51440,12743,45612,400,193673,179949,13724,208787,194018,14769,651618,100618,42822,57796,551000,267524,283476,"$75,336","$27,707","$32,680","$43,665","$78,399","$107,834","$80,865","$31,687","$34,301","$44,958","$86,892","$117,940","$71,131","$22,319","$31,537","$42,193","$72,081","$100,626"
DC_pct,,47.7%,3.2%,2.5%,2.4%,1.1%,4.7%,10.7%,7.7%,5.5%,4.8%,3.1%,1.4%,0.6%,52.4%,3.1%,2.6%,2.2%,1.1%,5.7%,12.1%,7.9%,5.3%,5.2%,4.0%,2.1%,1.0%,,7.8%,15.5%,15.3%,25.5%,21.9%,9.8%,4.3%,,8.0%,15.5%,14.4%,26.0%,20.7%,10.5%,4.7%,,7.5%,15.5%,16.1%,25.0%,23.0%,9.1%,3.9%,,3.9%,96.1%,,1.7%,98.3%,,73.6%,1.0%,72.5%,67.4%,5.1%,26.5%,,69.4%,0.2%,69.3%,64.4%,4.9%,30.6%,,51.5%,23.9%,9.2%,15.3%,0.1%,,43.2%,26.5%,6.6%,23.5%,0.2%,,92.9%,7.1%,,92.9%,7.1%,,15.4%,6.6%,8.9%,84.6%,41.1%,43.5%,,,,,,,,,,,,,,,,,,
Florida,21339762,10489548,571443,583755,644169,379009,881672,1390105,1315368,1355700,1391425,1137797,621507,217598,10850214,547351,564146,608112,363328,847487,1352337,1311562,1379530,1506298,1304876,737603,327584,15349290,1682505,4282929,4543900,3038293,1253271,356975,191417,7429500,872152,2128716,2103420,1441631,567092,208612,107877,7919790,810353,2154213,2440480,1596662,686179,148363,83540,503701,26160,477541,479554,16044,463510,8565225,5494712,58973,5435739,5147411,288328,3070513,9011799,4953578,12281,4941297,4677500,263797,4058221,5147411,3638930,517028,751835,228570,11048,4677500,3170156,634590,447850,414875,10029,5435739,5147411,288328,4941297,4677500,263797,20928219,2744612,1230391,1514221,18183607,8996006,9187601,"$38,669","$24,999","$30,855","$36,627","$51,092","$66,765","$43,360","$28,655","$34,854","$42,603","$61,402","$83,626","$33,736","$19,832","$25,721","$32,200","$44,157","$57,407"
FL_pct,,49.2%,2.7%,2.7%,3.0%,1.8%,4.1%,6.5%,6.2%,6.4%,6.5%,5.3%,2.9%,1.0%,50.9%,2.6%,2.6%,2.9%,1.7%,4.0%,6.3%,6.2%,6.5%,7.1%,6.1%,3.5%,1.5%,,11.0%,27.9%,29.6%,19.8%,8.2%,2.3%,1.3%,,11.7%,28.7%,28.3%,19.4%,7.6%,2.8%,1.5%,,10.2%,27.2%,30.8%,20.2%,8.7%,1.9%,1.1%,,5.2%,94.8%,,3.4%,96.7%,,64.2%,0.7%,63.5%,60.1%,3.4%,35.9%,,55.0%,0.1%,54.8%,51.9%,2.9%,45.0%,,70.7%,10.0%,14.6%,4.4%,0.2%,,67.8%,13.6%,9.6%,8.9%,0.2%,,94.7%,5.3%,,94.7%,5.3%,,13.1%,5.9%,7.2%,86.9%,43.0%,43.9%,,,,,,,,,,,,,,,,,,
