Statistics,Total Population By Sex,Male Pop,M_Under 5 Years,M_5 to 9 Years,M_10 to 14 Years,M_15 to 17 Years,M_18 to 24 Years,M_25 to 34 Years,M_35 to 44 Years,M_45 to 54 Years,M_55 to 64 Years,M_65 to 74 Years,M_75 to 84 Years,M_85 Years and Over,Female Pop,F_Under 5 Years,F_5 to 9 Years,F_10 to 14 Years,F_15 to 17 Years,F_18 to 24 Years,F_25 to 34 Years,F_35 to 44 Years,F_45 to 54 Years,F_55 to 64 Years,F_65 to 74 Years,F_75 to 84 Years,F_85 Years and Over,SE:A12001. Educational Attainment for Population 25 Years and Over,TotalEA_Population 25 Years and Over,TotalEA_Less than High School,TotalEA_High School Graduate ,TotalEA_Some College,TotalEA_Bachelors Degree,TotalEA_Masters Degree,TotalEA_Professional School Degree,TotalEA_Doctorate Degree,SE:A12001A. Educational Attainment for Male Population 25 Years and Over,MaleEA_Pop 25 Years and Over,MaleEA_Less than High School,MaleEA_High School Graduate ,MaleEA_Some College,MaleEA_Bachelors Degree,MaleEA_Masters Degree,MaleEA_Professional School Degree,MaleEA_Doctorate Degree,SE:A12001B. Educational Attainment for Female Population 25 Years and Over,FemEA_Pop 25 Years and Over,FemEA_Less than High School,FemEA_High School Graduate ,FemEA_Some College,FemEA_Bachelors Degree,FemEA_Masters Degree,FemEA_Professional School Degree,FemEA_Doctorate Degree,SE:A12003A. School Dropout Rate for Male Population 16 to 19 Years,MaleSDR Civilian Population 16 to 19 Years,MaleSDR_Not High School Graduate_Not Enrolled,MaleSDR_High School Graduate_Enrolled ,SE:A12003B. School Dropout Rate for Female Population 16 to 19 Years,FemaleSDR Civilian Population 16 to 19 Years,FemSDR_Not High School Graduate_Not Enrolled,FemSDR_High School Graduate_Enrolled ,SE:A17002A. Employment Status for Male Population 16 Years and Over,MaleES Population 16 Years and Over,MaleES_In Labor Force,MaleES_In Armed Forces,MaleES_Civilian,MaleES_Employed,MaleES_Unemployed,MaleES_Not in Labor Force,SE:A17002B. Employment Status for Female Population 16 Years and Over,FemES Population 16 Years and Over,FemES_In Labor Force,FemES_In Armed Forces,FemES_Civilian,FemES_Employed,FemES_Unemployed,FemES_Not in Labor Force,SE:A17003A. Employment Sector for Male Employed Civilian Population 16 Years and Over,MaleEmpSec Employed Civilian Population 16 Years and Over,MaleEmpSec_Private Sector,MaleEmpSec_Public Sector,MaleEmpSec_Self-Employed,MaleEmpSec_Private Non-Profit,MaleEmpSec_Unpaid Family Workers,SE:A17003B. Employment Sector for Female Employed Civilian Population 16 Years and Over,FemEmpSec Employed Civilian Population 16 Years and Over,FemEmpSec_Private Sector,FemEmpSec_Public Sector,FemEmpSec_Self-Employed,FemEmpSec_Private Non-Profit,FemEmpSec_Unpaid Family Workers,SE:A17005A. Unemployment Rate for Civilian Male Population,MaleUR Civilian Male in Labor Force 16 Years and Over,MaleUR_Employed,MaleUR_Unemployed,SE:A17005B. Unemployment Rate for Civilian Female Population,FemUR Civilian Female in Labor Force 16 Years and Over,FemUR_Employed,FemUR_Unemployed,SE:A13005. Poverty Status in the Past 12 Months by Sex,PS Total,Income in the Past 12 Months Below Poverty Level,Male_IncPast12BPL,Female_IncPast12BPL,Income in the Past 12 Months At or Above Poverty Level,Male_IncPast12AAPL,Female_IncPast12AAPL,SE:A15001. Median Earnings by Sex by Educational Attainment_2021 Inflation Adjusted Dollars_Pop Age 25 Up,Total Median Earnings,Less than High School Graduate,High School Graduate,Some College or Associates Degree,Bachelors Degree,Graduate or Professional Degree,Male Median Earnings,MaleME_Less than High School Graduate,MaleME_High School Graduate ,MaleME_Some College or Associates Degree,MaleME_Bachelor's Degree,MaleME_Graduate or Professional Degree,Female Median Earnings,FemME_Less than High School Graduate,FemME_High School Graduate ,FemME_Some College or Associates Degree,FemME_Bachelors Degree,FemME_Graduate or Professional Degree
Georgia,10625615,5191616,329092,350442,385435,228016,518757,721328,686105,690137,631328,424233,175792,50951,5433999,314626,335684,369232,219670,498805,740657,722751,720678,683040,500530,233171,95155,,7075856,831989,1925348,1983294,1426415,643718,161767,103325,,3379874,441780,975066,888217,674606,268176,80749,51280,,3695982,390209,950282,1095077,751809,375542,81018,52045,,302779,16908,285871,,293838,10135,283703,,4047719,2766759,47925,2718834,2576175,142659,1280960,,4337320,2563105,7343,2555762,2407578,148184,1774215,,2576175,1867420,288441,307698,107374,5242,,2407578,1597383,422537,184232,199434,3992,,2718834,2576175,142659,,2555762,2407578,148184,,10356895,1441351,632848,808503,8915544,4387413,4528131,,"$42,475 ","$26,480 ","$32,373 ","$38,072 ","$57,884 ","$72,984 ","$49,470 ","$30,490 ","$37,761 ","$46,685 ","$72,761 ","$91,685 ","$36,208 ","$20,818 ","$26,390 ","$31,785 ","$48,288 ","$63,893 "
Hawaii,1453498,732172,45527,44814,45331,24728,66691,105291,96263,88254,92087,75726,33531,13929,721326,42240,42166,42674,23540,55365,97249,92182,86904,93403,79928,40383,25292,,1020422,74468,273929,321607,226399,83849,24381,15789,,505081,35381,143573,161211,105752,36915,13100,9149,,515341,39087,130356,160396,120647,46934,11281,6640,,32888,1121,31767,,30394,1057,29337,,588065,407564,40082,367482,347922,19560,180501,,586446,357237,7266,349971,332379,17592,229209,,347922,214308,70807,42165,19973,669,,332379,192081,71135,31975,36304,884,,367482,347922,19560,,349971,332379,17592,,1414718,133740,62143,71597,1280978,644306,636672,,"$45,635 ","$29,906 ","$37,220 ","$42,944 ","$54,765 ","$75,208 ","$53,018 ","$35,226 ","$42,317 ","$50,969 ","$65,105 ","$88,191 ","$40,246 ","$25,473 ","$31,226 ","$37,564 ","$48,246 ","$66,244 "
Idaho,1811617,912529,58614,65157,69888,41468,86930,119690,118420,105995,109439,87447,38358,11123,899088,56355,61224,66826,39298,80660,115613,114768,101830,112344,90572,41927,17671,,1185197,104683,314521,420711,231259,79872,19205,14946,,590472,57177,164054,199101,108871,39242,12199,9828,,594725,47506,150467,221610,122388,40630,7006,5118,,52404,3063,49341,,49344,1988,47356,,704549,485200,4056,481144,461115,20029,219349,,700696,402777,862,401915,386311,15604,297919,,461115,316321,56642,63141,23829,1182,,386311,237571,69040,40746,37738,1216,,481144,461115,20029,,401915,386311,15604,,1780875,202560,91224,111336,1578315,801804,776511,,"$38,577 ","$27,662 ","$32,313 ","$35,768 ","$48,330 ","$66,528 ","$46,493 ","$34,136 ","$38,681 ","$45,453 ","$62,396 ","$82,648 ","$30,182 ","$18,547 ","$24,741 ","$27,280 ","$39,864 ","$55,448 "
Illinois,12821813,6332176,381213,397940,433292,262755,594874,882628,843768,819285,826202,559618,243598,87003,6489637,364468,383394,413063,251226,574710,868914,832953,821198,857195,630669,323653,168194,,8764878,885321,2226182,2483806,1910757,920298,212604,125910,,4262102,460172,1133246,1172109,915516,393387,118110,69562,,4502776,425149,1092936,1311697,995241,526911,94494,56348,,347015,14115,332900,,330624,10351,320273,,5031810,3522495,15056,3507439,3285186,222253,1509315,,5244168,3182689,3614,3179075,2988287,190788,2061479,,3285186,2405804,338054,338397,197209,5722,,2988287,1960936,444268,195310,382605,5168,,3507439,3285186,222253,,3179075,2988287,190788,,12529291,1483378,657599,825779,11045913,5503785,5542128,,"$47,246 ","$28,305 ","$34,591 ","$41,162 ","$63,240 ","$81,497 ","$55,540 ","$32,724 ","$41,932 ","$51,824 ","$77,258 ","$101,638 ","$39,371 ","$22,015 ","$26,921 ","$33,257 ","$52,887 ","$69,421 "
Indiana,6751340,3344360,213036,222731,237190,142459,336559,441929,423372,420733,433858,301294,127233,43966,3406980,202506,213179,225170,135816,321480,437003,420081,418213,448478,335267,166340,83447,,4501214,460480,1485995,1301440,797977,334885,69354,51083,,2192385,239818,760404,602124,377188,142331,40453,30067,,2308829,220662,725591,699316,420789,192554,28901,21016,,192271,10487,181784,,184849,8334,176515,,2621864,1803043,4239,1798804,1712086,86718,818821,,2721365,1613128,519,1612609,1538837,73772,1108237,,1712086,1298968,154134,156710,99378,2896,,1538837,1023850,204663,92889,214944,2491,,1798804,1712086,86718,,1612609,1538837,73772,,6550921,819005,362924,456081,5731916,2868014,2863902,,"$42,112 ","$28,281 ","$34,547 ","$39,729 ","$53,845 ","$69,467 ","$50,879 ","$33,933 ","$42,335 ","$51,217 ","$68,066 ","$83,394 ","$34,298 ","$20,377 ","$26,469 ","$31,942 ","$45,135 ","$61,241 "
Iowa,3179090,1590001,99307,105743,108860,65647,163285,201396,201886,188639,209780,152458,66406,26594,1589089,95263,99107,106302,61946,153746,193335,190776,183192,210338,160760,86783,47541,,2119884,152380,648873,688911,423852,144056,34880,26932,,1047159,82411,345108,325125,197910,60420,21010,15175,,1072725,69969,303765,363786,225942,83636,13870,11757,,91259,4039,87220,,87499,3235,84264,,1254676,893707,2312,891395,855577,35818,360969,,1268973,795631,330,795301,765219,30082,473342,,855577,612561,92643,106226,42275,1872,,765219,479588,130329,55617,98275,1410,,891395,855577,35818,,795301,765219,30082,,3084598,339695,151946,187749,2744903,1387355,1357548,,"$43,578 ","$31,268 ","$35,389 ","$40,644 ","$55,185 ","$71,579 ","$51,562 ","$36,091 ","$42,604 ","$50,257 ","$67,627 ","$84,490 ","$36,116 ","$22,635 ","$26,634 ","$32,777 ","$46,647 ","$64,434 "
Kansas,2932099,1468152,95187,104105,104313,62942,154246,193833,186672,170798,185544,132021,56124,22367,1463947,90089,98651,99835,59029,141751,184148,179951,166457,190520,141352,72067,40097,,1921951,161293,493339,606084,415201,181958,37562,26514,,947359,87392,257558,288325,196959,79789,22062,15274,,974592,73901,235781,317759,218242,102169,15500,11240,,85060,4052,81008,,80643,2656,77987,,1143513,816035,16374,799661,765976,33685,327478,,1155964,714395,1993,712402,684240,28162,441569,,765976,541733,99903,87160,35578,1602,,684240,417951,133209,50735,80790,1555,,799661,765976,33685,,712402,684240,28162,,2850702,327209,144459,182750,2523493,1276025,1247468,,"$43,070 ","$29,301 ","$33,428 ","$39,037 ","$54,255 ","$66,495 ","$50,999 ","$34,630 ","$40,339 ","$47,399 ","$67,449 ","$83,962 ","$35,533 ","$20,785 ","$25,719 ","$31,750 ","$45,078 ","$57,665 "
Kentucky,4494141,2223783,139220,144884,149328,91259,215116,294612,281148,286360,293125,212674,90249,25808,2270358,131639,134664,146208,84707,203552,287128,279778,286676,309886,237606,119685,48829,,3053564,376963,1000507,891024,461841,232970,56514,33745,,1483976,202214,519372,401205,224197,88754,30083,18151,,1569588,174749,481135,489819,237644,144216,26431,15594,,121042,6165,114877,,114997,4046,110951,,1759011,1123279,12443,1110836,1049398,61438,635732,,1829198,1012709,1665,1011044,959787,51257,816489,,1049398,768024,120890,107027,50348,3109,,959787,622565,167816,58431,108612,2363,,1110836,1049398,61438,,1011044,959787,51257,,4359181,709140,315632,393508,3650041,1829789,1820252,,"$39,631 ","$24,576 ","$32,141 ","$37,128 ","$52,666 ","$62,007 ","$45,889 ","$28,679 ","$38,467 ","$46,623 ","$62,870 ","$74,395 ","$33,254 ","$19,051 ","$25,089 ","$30,679 ","$44,195 ","$56,467 "
Louisiana,4657305,2283561,151391,153155,162798,94784,215072,321954,298693,272146,293109,206992,84806,28661,2373744,145968,147702,155675,89610,207295,325281,302520,283509,314197,236480,115243,50264,,3133855,431595,1036204,865973,511447,200435,56205,31996,,1506361,234573,529488,392370,227069,72846,31941,18074,,1627494,197022,506716,473603,284378,127589,24264,13922,,124062,6645,117417,,115896,5495,110401,,1785133,1132844,16709,1116135,1035878,80257,652289,,1894388,1046865,2794,1044071,978029,66042,847523,,1035878,736995,124318,128275,44385,1905,,978029,623655,186769,73650,92268,1687,,1116135,1035878,80257,,1044071,978029,66042,,4531545,850486,370883,479603,3681059,1826609,1854450,,"$40,242 ","$25,106 ","$32,129 ","$36,470 ","$53,441 ","$62,283 ","$50,601 ","$31,270 ","$42,703 ","$48,802 ","$68,168 ","$83,464 ","$31,764 ","$17,575 ","$23,416 ","$29,519 ","$45,107 ","$54,323 "
Maine,1357046,668308,32899,35609,38348,24154,54992,81330,78454,88903,104428,82589,35269,11333,688738,31033,33921,35708,22913,52569,80921,79853,90204,109986,88670,42366,20594,,994900,62607,307382,290461,209253,89039,21308,14850,,482306,35657,161256,137092,94014,34641,11734,7912,,512594,26950,146126,153369,115239,54398,9574,6938,,33512,1311,32201,,31606,1008,30598,,553957,367321,1687,365634,348450,17184,186636,,580836,345900,184,345716,332737,12979,234936,,348450,219824,42225,56209,29695,497,,332737,186255,50397,30888,64482,715,,365634,348450,17184,,345716,332737,12979,,1321489,145992,65660,80332,1175497,584287,591210,,"$41,635 ","$28,743 ","$33,235 ","$39,285 ","$49,504 ","$64,713 ","$47,437 ","$34,452 ","$39,667 ","$46,457 ","$58,502 ","$76,223 ","$36,039 ","$21,153 ","$26,705 ","$33,078 ","$42,971 ","$58,313 "
Maryland,6148545,2995146,185279,191750,204033,120450,270938,412275,395351,398574,401452,261463,114345,39236,3153399,178187,185444,192426,115580,263663,417624,410034,421672,433923,308315,152385,74146,,4240795,391353,1014292,1072668,934036,578591,134194,115661,,2022696,205213,515553,484496,438484,242643,72431,63876,,2218099,186140,498739,588172,495552,335948,61763,51785,,161034,5784,155250,,153693,3794,149899,,2374155,1706122,26868,1679254,1590284,88970,668033,,2557410,1624157,6927,1617230,1530693,86537,933253,,1590284,998245,314341,164586,110448,2664,,1530693,847821,368761,104475,206863,2773,,1679254,1590284,88970,,1617230,1530693,86537,,6006777,550074,238213,311861,5456703,2671997,2784706,,"$55,778 ","$30,084 ","$39,306 ","$47,767 ","$69,361 ","$93,187 ","$63,153 ","$36,156 ","$45,052 ","$55,948 ","$82,543 ","$111,250 ","$49,695 ","$21,792 ","$32,143 ","$41,163 ","$59,416 ","$81,185 "
