age,sex,state,value
5-9,F,Ohio,346303
10-14,F,Ohio,374155
15-17,F,Ohio,226311
18-24,F,Ohio,522615
25-34,F,Ohio,766804
35-44,F,Ohio,714127
45-54,F,Ohio,741114
55-64,F,Ohio,828124
65-74,F,Ohio,632006
75-84,F,Ohio,322440
85+,F,Ohio,158789
<5,F,Oklahoma,123410
5-9,F,Oklahoma,130675
10-14,F,Oklahoma,136325
15-17,F,Oklahoma,79191
18-24,F,Oklahoma,182415
25-34,F,Oklahoma,264085
35-44,F,Oklahoma,248358
45-54,F,Oklahoma,228277
55-64,F,Oklahoma,251951
65-74,F,Oklahoma,193816
75-84,F,Oklahoma,101377
85+,F,Oklahoma,43329
<5,F,Oregon,108729
5-9,F,Oregon,117183
10-14,F,Oregon,125449
15-17,F,Oregon,73689
18-24,F,Oregon,177675
25-34,F,Oregon,292074
35-44,F,Oregon,283177
45-54,F,Oregon,254881
55-64,F,Oregon,278053
65-74,F,Oregon,241273
75-84,F,Oregon,108052
85+,F,Oregon,50513
<5,F,Pennsylvania,341885
5-9,F,Pennsylvania,360844
10-14,F,Pennsylvania,381917
15-17,F,Pennsylvania,233921
18-24,F,Pennsylvania,570151
25-34,F,Pennsylvania,837065
35-44,F,Pennsylvania,774036
45-54,F,Pennsylvania,825896
55-64,F,Pennsylvania,936815
65-74,F,Pennsylvania,723262
75-84,F,Pennsylvania,380943
85+,F,Pennsylvania,209698
<5,F,RhodeIsland,27134
5-9,F,RhodeIsland,28605
10-14,F,RhodeIsland,29268
15-17,F,RhodeIsland,18722
18-24,F,RhodeIsland,57056
25-34,F,RhodeIsland,74208
35-44,F,RhodeIsland,65182
45-54,F,RhodeIsland,71828
55-64,F,RhodeIsland,80046
65-74,F,RhodeIsland,58004
75-84,F,RhodeIsland,31057
85+,F,RhodeIsland,16556
<5,F,SouthCarolina,139164
5-9,F,SouthCarolina,151791
10-14,F,SouthCarolina,158207
15-17,F,SouthCarolina,94004
18-24,F,SouthCarolina,223735
25-34,F,SouthCarolina,336392
35-44,F,SouthCarolina,318240
45-54,F,SouthCarolina,327681
55-64,F,SouthCarolina,359055
65-74,F,SouthCarolina,300550
75-84,F,SouthCarolina,141027
85+,F,SouthCarolina,54998
<5,F,SouthDakota,29297
5-9,F,SouthDakota,30911
10-14,F,SouthDakota,29840
15-17,F,SouthDakota,17008
18-24,F,SouthDakota,40139
25-34,F,SouthDakota,53958
35-44,F,SouthDakota,51507
45-54,F,SouthDakota,46771
55-64,F,SouthDakota,58045
65-74,F,SouthDakota,44040
75-84,F,SouthDakota,21582
85+,F,SouthDakota,12226
<5,F,Tennessee,198246
5-9,F,Tennessee,201896
10-14,F,Tennessee,219898
15-17,F,Tennessee,129605
18-24,F,Tennessee,304781
25-34,F,Tennessee,472712
35-44,F,Tennessee,435260
45-54,F,Tennessee,447380
55-64,F,Tennessee,469031
65-74,F,Tennessee,362893
75-84,F,Tennessee,183042
85+,F,Tennessee,72654
<5,F,Texas,958490
5-9,F,Texas,998344
10-14,F,Texas,1065663
15-17,F,Texas,620620
18-24,F,Texas,1360060
25-34,F,Texas,2059727
35-44,F,Texas,1967990
45-54,F,Texas,1785594
55-64,F,Texas,1660442
65-74,F,Texas,1181847
75-84,F,Texas,561956
85+,F,Texas,243677
<5,F,Utah,119820
5-9,F,Utah,129864
10-14,F,Utah,131992
15-17,F,Utah,78253
18-24,F,Utah,178255
25-34,F,Utah,230615
35-44,F,Utah,219284
45-54,F,Utah,164933
55-64,F,Utah,154653
65-74,F,Utah,113878
75-84,F,Utah,54996
85+,F,Utah,20984
<5,F,Vermont,14049
5-9,F,Vermont,15342
10-14,F,Vermont,16997
15-17,F,Vermont,10694
18-24,F,Vermont,33099
25-34,F,Vermont,37288
35-44,F,Vermont,37734
45-54,F,Vermont,40981
55-64,F,Vermont,49943
65-74,F,Vermont,39667
75-84,F,Vermont,18545
85+,F,Vermont,8765
<5,F,Virginia,244760
5-9,F,Virginia,252006
10-14,F,Virginia,266690
15-17,F,Virginia,158801
18-24,F,Virginia,391258
25-34,F,Virginia,581961
35-44,F,Virginia,567392
45-54,F,Virginia,564357
55-64,F,Virginia,575765
65-74,F,Virginia,427110
75-84,F,Virginia,215887
85+,F,Virginia,91211
<5,F,Washington,218811
5-9,F,Washington,230501
10-14,F,Washington,233793
15-17,F,Washington,136471
18-24,F,Washington,316423
25-34,F,Washington,555320
35-44,F,Washington,509190
45-54,F,Washington,462317
55-64,F,Washington,487330
65-74,F,Washington,382040
75-84,F,Washington,171014
85+,F,Washington,82190
<5,F,WestVirginia,45161
5-9,F,WestVirginia,49064
10-14,F,WestVirginia,51980
15-17,F,WestVirginia,31535
18-24,F,WestVirginia,75042
25-34,F,WestVirginia,103404
35-44,F,WestVirginia,107524
45-54,F,WestVirginia,115369
55-64,F,WestVirginia,131182
65-74,F,WestVirginia,112762
75-84,F,WestVirginia,55554
85+,F,WestVirginia,25749
<5,F,Wisconsin,160734
5-9,F,Wisconsin,173541
10-14,F,Wisconsin,183963
15-17,F,Wisconsin,112356
18-24,F,Wisconsin,270648
25-34,F,Wisconsin,359871
35-44,F,Wisconsin,357763
45-54,F,Wisconsin,361060
55-64,F,Wisconsin,417535
65-74,F,Wisconsin,306333
75-84,F,Wisconsin,149977
85+,F,Wisconsin,80259
<5,F,Wyoming,16550
5-9,F,Wyoming,18237
10-14,F,Wyoming,19632
15-17,F,Wyoming,10744
18-24,F,Wyoming,24391
25-34,F,Wyoming,36024
35-44,F,Wyoming,36189
45-54,F,Wyoming,31532
55-64,F,Wyoming,38567
65-74,F,Wyoming,29710
75-84,F,Wyoming,13834
85+,F,Wyoming,6027
